pdb_id,protein,state,paper_doi,notes
pdb_id,title,resolution,doi,state,notes
3F3A,CRYSTAL STRUCTURE OF LEUT BOUND TO L-TRYPTOPHAN AND SODIUM,2.00,10.1126/SCIENCE.1166777,outward_open,Tryptophan acts as competitive inhibitor; paper states Trp traps LeuT in open-to-out conformation
3F3C,CRYSTAL STRUCTURE OF LEUT BOUND TO 4-FLUORO-L-PHENYLALANINE AND SODIUM,2.10,10.1126/SCIENCE.1166777,occluded,Substrate-bound state; paper states amino acid substrates induce occluded conformation
3F3D,CRYSTAL STRUCTURE OF LEUT BOUND TO L-METHIONINE AND SODIUM,2.30,10.1126/SCIENCE.1166777,occluded,Substrate-bound state
3F3E,CRYSTAL STRUCTURE OF LEUT BOUND TO L-LEUCINE AND SODIUM,1.80,10.1126/SCIENCE.1166777,occluded,Substrate-bound state
3F4I,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE AND SODIUM,1.95,10.1126/SCIENCE.1166777,occluded,Substrate-bound state
3F4J,CRYSTAL STRUCTURE OF LEUT BOUND TO GLYCINE AND SODIUM,2.15,10.1126/SCIENCE.1166777,occluded,Substrate-bound state

3GJC,CRYSTAL STRUCTURE OF THE E290S MUTANT OF LEUT WITH BOUND OG,2.80,10.1073/PNAS.0811322106,outward_occluded,Octylglucoside-bound inhibitor complex; extracellular vestibule expanded
3GJD,CRYSTAL STRUCTURE OF LEUT WITH BOUND OG,2.00,10.1073/PNAS.0811322106,outward_occluded,Octylglucoside-bound inhibitor complex

3MPN,F177R1 MUTANT OF LEUT,2.25,10.1021/BI101148W,unknown,Spin-label mutant structure; state assignment requires paper review
3MPQ,I204R1 MUTANT OF LEUT,2.25,10.1021/BI101148W,unknown,Spin-label mutant structure; state assignment requires paper review

3QS4,CRYSTAL STRUCTURE OF LEUT MUTANT F259V BOUND TO SODIUM AND L-TRYPTOPHAN,2.63,10.1038/EMBOJ.2011.353,outward_open,Tryptophan-bound mutant; likely open-to-out state
3QS5,CRYSTAL STRUCTURE OF LEUT MUTANT I359Q BOUND TO SODIUM AND L-TRYPTOPHAN,2.60,10.1038/EMBOJ.2011.353,outward_open,Tryptophan-bound mutant
3QS6,CRYSTAL STRUCTURE OF LEUT MUTANT F259V/I359Q BOUND TO SODIUM AND L-TRYPTOPHAN,2.80,10.1038/EMBOJ.2011.353,outward_open,Tryptophan-bound mutant

3TT1,CRYSTAL STRUCTURE OF LEUT IN THE OUTWARD-OPEN CONFORMATION IN COMPLEX WITH FAB,3.10,10.1038/NATURE10737,outward_open,Canonical outward-open reference structure
3TT3,CRYSTAL STRUCTURE OF LEUT IN THE INWARD-OPEN CONFORMATION IN COMPLEX WITH FAB,3.22,10.1038/NATURE10737,inward_open,Canonical inward-open reference structure
3TU0,CRYSTAL STRUCTURE OF T355V S354A K288A LEUT MUTANT IN COMPLEX WITH ALANINE AND SODIUM,2.99,10.1038/NATURE10737,inward_open,Mutant associated with inward-open state

3USI,CRYSTAL STRUCTURE OF LEUT BOUND TO L-LEUCINE IN SPACE GROUP P2 FROM LIPID BICELLES,3.11,10.1038/NSMB.2215,occluded,Leucine-bound structure
3USL,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP C2 FROM LIPID BICELLES,2.71,10.1038/NSMB.2215,occluded,Selenomethionine-bound structure
3USM,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP C2 FROM LIPID BICELLES,3.01,10.1038/NSMB.2215,occluded,Selenomethionine-bound structure
3USO,CRYSTAL STRUCTURE OF LEUT BOUND TO L-SELENOMETHIONINE IN SPACE GROUP P21212 FROM LIPID BICELLES,4.50,10.1038/NSMB.2215,occluded,Selenomethionine-bound structure
3USP,CRYSTAL STRUCTURE OF LEUT IN HEPTYL-BETA-D-SELENOGLUCOSIDE,2.10,10.1038/NSMB.2215,outward_occluded,Detergent-bound structure; state should be verified from paper

5JAE,LEUT IN THE OUTWARD-ORIENTED NA+-FREE RETURN STATE,2.50,10.1038/NCOMMS11673,outward_return,Canonical outward-return state
5JAF,LEUT NA+-FREE RETURN STATE,3.02,10.1038/NCOMMS11673,outward_return,Canonical outward-return state
5JAG,LEUT T354H MUTANT IN THE OUTWARD-ORIENTED NA+-FREE RETURN STATE,2.58,10.1038/NCOMMS11673,outward_return,Mutant outward-return state

6XWM,MECHANISM OF SUBSTRATE RELEASE IN NSS: LEUT IN AN INWARD-FACING OCCLUDED CONFORMATION,2.60,10.1038/S41467-020-14735-W,inward_occluded,Canonical inward-facing occluded structure
